rider_1,rider_2,coattendance_count,tie_strength
R004134,R007770,3,0.2864518426594089
R002748,R007808,3,1.0651874251665951
R001634,R003568,3,1.0646959423610223
R003611,R008431,3,1.0517720098316785
R000347,R008131,3,1.1388676883516498
R001069,R008388,4,0.6878379636969294
R000968,R005366,15,7.247433981572046
R004409,R009450,3,1.086816423674263
R004335,R006091,3,0.7091819795877848
R003611,R005377,3,0.5068143817215918
R000886,R008997,3,1.097010085979666
R001612,R005986,5,1.4047598987918886
R006947,R007384,3,2.3225178767383783
R009159,R009189,3,0.5003775536835264
R006081,R009853,3,0.9867658823020296
R002262,R003611,8,4.761652626000166
R000574,R008017,4,1.6457530646509664
R000662,R000668,3,0.7444718955310538
R000100,R003399,3,1.2237707421664263
R001634,R008226,3,0.937032562893858
R006933,R007193,3,0.6243583977573628
R001069,R005791,3,1.1537581755790611
R002769,R004290,3,0.7650707418394547
R005514,R008549,4,1.3242936548863162
R001761,R003380,4,1.6291392993131015
R004163,R005612,3,0.6815218835771886
R002856,R005716,3,0.666555000770753
R001317,R007741,4,0.8329858059361765
R006058,R006821,4,1.8159068076844866
R003568,R007853,3,1.2775665501199378
R000778,R006703,5,1.5625471945956437
R003399,R004246,3,0.48675707931386974
R000886,R004295,30,13.748937821037707
R006477,R007789,3,0.6108662114002088
R003607,R006909,3,0.7083311551387901
R006801,R008115,3,1.5792590100445008
R001913,R002748,4,0.8872144894488728
R001642,R007744,3,0.8213789438578396
R000011,R006058,3,0.859832902129616
R002505,R005510,4,1.5411997747731172
R000778,R004458,5,2.67635349320717
R004115,R005492,3,0.6583280661592077
R001798,R008388,14,8.053948721865366
R000222,R004295,4,1.0354148471155635
R002488,R004106,5,1.637770177756068
R006808,R008388,4,1.5394533248769544
R002177,R006909,3,1.249407251030845
R004163,R004386,3,1.8946760319657419
R002297,R007722,3,0.513013833826465
R000968,R003380,8,3.8643104168489817
R003174,R008226,3,1.1490820326168696
R002518,R007942,4,0.5314595260368229
R007895,R009883,3,0.995781502897027
R001417,R009431,3,0.9290003917498297
R000931,R003611,3,0.9955871992642764
R003380,R006614,3,1.323102839534388
R008549,R009349,3,1.1371280855117183
R003568,R007455,4,1.0863376521656218
R004598,R005878,4,1.1181813382111452
